artigoEmPeriodico	2014		Chromatographic analysis and antioxidant capacity of Tabernaemontana catharinensis.	Natural Product Communications	BOLIGON, A. A. ; PIANA, M. ; Schwanz, T. G. ; PEREIRA, R. P. ; ROCHA, J. B. T. ; ATHAYDE, M. L. ; ATHAYDE, M. L.	B3	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neuroscience.2011.08.055	Exercise affects memory acquisition, anxiety-like symptoms and activity of membrane-bound enzyme in brain of rats fed with different dietary fats: impairments of trans fat	Neuroscience	Teixeira, A.M. ; Pase, C.S. ; Boufleur, N. ; Roversi, K. ; Barcelos, R.C.S. ; Benvegnú, D.M. ; Segat, H.J. ; Dias, V.T. ; RECKZIEGEL, P. ; Trevizol, F. ; Dolci, G.S. ; Carvalho, N.R. ; Soares, F.A.A. ; Rocha, J.B.T. ; EMANUELLI, T. ; Bürger, M.E.	Qualis nao identificado	Neuroscience
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.pbb.2010.11.004	Comparative study between n-6, trans and n-3 fatty acids on repeated amphetamine exposure: A possible factor for the development of mania	Pharmacology, Biochemistry and Behavior	Trevizol, Fabíola ; Benvegnú, Dalila M. ; Barcelos, Raquel C.S. ; Boufleur, Nardeli ; Dolci, Geisa S. ; Müller, Liz G. ; Pase, Camila S. ; Reckziegel, Patrícia ; Dias, Verônica T. ; Segat, Hecson ; Rocha, J.B.T.	B1	
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.neuro.2011.01.004	Methylmercury-induced alterations in astrocyte functions are attenuated by ebselen	Neurotoxicology (Park Forest South)	Yin, Zhaobao ; Lee, Eunsook ; Ni, Mingwei ; Jiang, Haiyan ; Milatovic, Dejan ; Rongzhu, Lu ; Farina, Marcelo ; Rocha, J.B.T. ; Aschner, Michael	Qualis nao identificado	Neurotoxicology (Park Forest South)
artigoEmPeriodico	2011	http://dx.doi.org/10.1016/j.ejphar.2011.04.031	Hepatoprotective activity of a vinylic telluride against acute exposure to acetaminophen	European Journal of Pharmacology	Ávila, Daiana Silva ; Palma, Aline Schwertner ; Colle, Dirleise ; Scolari, Rogério ; Manarin, Flávia ; da Silveira, Aron Ferreira ; Nogueira, Cristina Wayne ; Rocha, J.B.T. ; Soares, Félix Alexandre Antunes	B1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1093/toxsci/kfp282	Acute Treatment with Diphenyl Diselenide Inhibits Glutamate Uptake into Rat Hippocampal Slices and Modifies Glutamate Transporters, SNAP-25, and GFAP Immunocontent	Toxicological Sciences	Ardais, A. P. ; Viola, G. G. ; Costa, M. S. ; Nunes, F. ; Behr, G. A. ; Klamt, F. ; Moreira, J. C. F. ; SOUZA, D. O. ; ROCHA, J. B. T. ; PORCIUNCULA, L. O.	A1	Toxicological Sciences (Print)
artigoEmPeriodico	2010	http://dx.doi.org/10.1093/toxsci/kfq036	A Possible Neuroprotective Action of a Vinylic Telluride against Mn-Induced Neurotoxicity	Toxicological Sciences (Print)	AVILA, D. S. ; COLLE, D. ; GUBERT, P. ; Palma, A. S. ; PUNTEL, G. ; Manarin, F. ; NOREMBERG, S. ; Nascimento, P. C. ; Aschner, M. ; ROCHA, J. B. T. ; SOARES, F. A. A.	A1	
artigoEmPeriodico	2010		EVALUATION OF ANTIOXIDANT AND FREE RADICAL SCAVENGING ACTIVITIES OF FRUIT EXTRACT FROM ZANTHOXYLUM ALATUM: A COMMONLY USED SPICE FROM PAKISTAN	Pakistan Journal of Botany	BATOOL, F. ; Sabir, S.M. ; SHAH, A.H. ; AHMED, S.D. ; , Rocha JBT	Qualis nao identificado	Pakistan Journal of Botany
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.bbr.2010.05.034	Caffeine prevents disruption of memory consolidation in the inhibitory avoidance and novel object recognition tasks by scopolamine in adult mice	Behavioural Brain Research	Botton, Paulo Henrique ; Costa, Marcelo S. ; Ardais, Ana Paula ; Mioranzza, Sabrina ; Souza, Diogo O. ; ROCHA, J. B. T. ; Porciúncula, Lisiane O.	A2	
artigoEmPeriodico	2010	http://dx.doi.org/10.1111/j.1742-7843.2010.00576.x	In vitro Reactivating Effects of Standard and Newly Developed Oximes on Malaoxon-Inhibited Mouse Brain Acetylcholinesterase	Basic Clinical Pharmacology Toxicology (Print)	Dos Santos, Alessandra Antunes ; Dos Santos, Danúbia Bonfanti ; Dafre, Alcir Luiz ; de Bem, Andreza Fabro ; Souza, Diogo Onofre ; ROCHA, J. B. T. ; Kuca, Kamil ; FARINA, Marcelo	B1	Basic & Clinical Pharmacology & Toxicology (Print)
artigoEmPeriodico	2010		(Plano de aula) Bioquímica Experimental: Proposta para o ensino de Açúcares Redutores	Revista Brasileira de Ensino de Bioquímica e Biologia Molecular	FIGUEIRA, A. C. M. ; Azzolin, K. A. S. ; Sudati, J.H. ; ROCHA, J. B. T.	Qualis nao identificado	Revista Brasileira de Ensino de Bioquímica e Biologia Molecular
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.etap.2010.07.003	Structure activity relationship of flavonoids derived from medicinal plants in preventing methylmercury-induced mitochondrial dysfunction	Environmental Toxicology and Pharmacology	Franco, Jeferson L ; Posser, Thais ; Missau, Fabiana ; Pizzolatti, Moacir G. ; Santos, Adair R. S. ; Souza, Diogo O. ; Aschner, Michael ; ROCHA, J. B. T. ; Dafre, Alcir L. ; Farina, Marcelo	B2	
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.neuro.2010.05.012	Oxidative stress-mediated inhibition of brain creatine kinase activity by methylmercury	Neurotoxicology (Park Forest South)	Glaser, Viviane ; Leipnitz, Guilhian ; Straliotto, Marcos Raniel ; Oliveira, Jade ; dos Santos, Vanessa Valgas ; Wannmacher, Clóvis Milton Duval ; de Bem, Andreza Fabro ; , Rocha JBT ; Farina, Marcelo ; Latini, Alexandra	Qualis nao identificado	Neurotoxicology (Park Forest South)
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.ijdevneu.2010.07.225	Effects of inorganic selenium administration in methylmercury-induced neurotoxicity in mouse cerebral cortex	International Journal of Developmental Neuroscience	Glaser, Viviane ; Nazari, Evelise Maria ; Müller, Yara Maria Rauh ; Feksa, Luciane ; Wannmacher, Clóvis Milton Duval ; Rocha, J.B.T. ; Bem, Andreza Fabro de ; Farina, Marcelo ; Latini, Alexandra	B1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.prp.2009.12.009	Diphenyl diselenide behaves differently than ebselen under different pH media in rat s liver preparations	Pathology, Research and Practice (Print)	HASSAN, Waseem ; IBRAHIM, M. ; ROCHA, J. B. T.	Qualis nao identificado	Pathology, Research and Practice (Print)
artigoEmPeriodico	2010	http://dx.doi.org/10.1002/cbf.1645	Protective effect of binaphthyl diselenide, a synthetic organoselenium compound, on 2-nitropropane-induced hepatotoxicity in rats	Cell Biochemistry and Function	Ibrahim, Mohammad ; Prigol, Marina ; HASSAN, Waseem ; NOGUEIRA, Cristina W. ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.ejphar.2010.03.019	Involvement of l-arginine nitric oxide cyclic guanosine monophosphate pathway in the antidepressant-like effect of bis selenide in the mouse tail suspension test	European Journal of Pharmacology	Jesse, Cristiano R. ; Wilhelm, Ethel A. ; Bortolatto, Cristiani F. ; Rocha, João B.T. ; NOGUEIRA, Cristina W.	B1	
artigoEmPeriodico	2010		Aqueous extracts of Sphagneticola trilobata attenuates streptozotocin-induced hyperglycaemia in rat models by modulating oxidative stress parameters	Biology and Medicine	KADE, I. J. ; Barbosa, NBV. ; Barbosa, NBV. ; IBUKUNA, E. ; IGBAKINC, A. ; NOGUEIRA, C. W. ; ROCHA, J. B. T.	B3	Computers in Biology and Medicine
artigoEmPeriodico	2010	http://dx.doi.org/10.1002/jat.1542	Comparative study on the influence of subcutaneous administration of diphenyl and dicholesteroyl diselenides on sulphydryl proteins and antioxidant parameters in mice	JAT. Journal of Applied Toxicology	KADE, I. J. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1016/j.cellimm.2010.08.001	In vitro and in vivo interactions of aluminum on NTPDase and AChE activities in lymphocytes of rats	Cellular Immunology (Print)	Kaizer, Rosilene R. ; Gutierres, Jessié M. ; Schmatz, Roberta ; Spanevello, Rosélia M. ; Morsch, Vera M. ; SCHETINGER, Maria R.c. ; Rocha, João B.T.	B1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1590/S0103-50532010001100006	Diphenyl diselenide a janus-faced molecule	Journal of the Brazilian Chemical Society (Impresso)	NOGUEIRA, Cristina W ; ROCHA, J. B. T.	A2	
artigoEmPeriodico	2010	http://dx.doi.org/10.1093/toxsci/kfq185	Mitochondrial Dysfunction Induced by Different Organochalchogens Is Mediated by Thiol Oxidation and Is Not Dependent of the Classical Mitochondrial Permeability Transition Pore Opening	Toxicological Sciences (Print)	PUNTEL, R. L. ; Roos, D. H. ; FOLMER, V. ; NOGUEIRA, C. W. ; Galina, A. ; Aschner, M. ; ROCHA, J. B. T.	A1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1007/s11259-010-9426-x	Effect of selenium and vitamin E on oxidative stress in lambs experimentally infected with Haemonchus contortus	Veterinary Research Communications	Reo Leal, Marta Lizandra ; Camargo, Emmanuel Veiga ; Henrique Ross, Daniel ; Molento, Marcelo Beltrão ; Anjos Lopes, Sonia Terezinha ; ROCHA, J. B. T.	Qualis nao identificado	Veterinary Research Communications
artigoEmPeriodico	2010	http://dx.doi.org/10.1111/j.1742-7843.2010.00577.x.	Complex methylmercury-cysteine alters mercury accumulation in different tissues of mice	Basic Clinical Pharmacology Toxicology (Print)	Roos, Daniel Henrique ; Puntel, Robson Luiz ; Lugokenski, Thiago Henrique ; Ineu, Rafael Porto ; Bohrer, Denise ; Burger, Marilise Escobar ; Franco, Jeferson L ; Farina, Marcelo ; Aschner, Michael ; , Rocha JBT ; Barbosa, Nilda Vargas	B1	Basic & Clinical Pharmacology & Toxicology (Print)
artigoEmPeriodico	2010	http://dx.doi.org/10.3390/molecules15117700	Reduction of Diphenyl Diselenide and Analogs by Mammalian Thioredoxin Reductase Is Independent of Their Gluthathione Peroxidase-Like Activity: A Possible Novel Pathway for Their Antioxidant Activity	Molecules (Basel. Online)	Sausen de Freitas, Andressa ; de Souza Prestes, Alessandro ; Wagner, Caroline ; Haigert Sudati, JÃ ssie ; Alves, Diego ; Oliveira PorciÃºncula, Lisiane ; Kade, Ige Joseph ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1002/jat.1560	Acute exposure of rabbits to diphenyl diselenide: a toxicological evaluation	JAT. Journal of Applied Toxicology	Straliotto, Marcos Raniel ; Mancini, Gianni ; Oliveira, Jade ; Nazari, Evelise Maria ; Müller, Yara Maria Rauh ; Dafre, Alcir ; Ortiz, Susana ; Silva, Edson Luiz ; FARINA, Marcelo ; Latini, Alexandra ; , Rocha JBT ; de Bem, Andreza Fabro	B1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1007/s00204-009-0482-3	Comparative study of quercetin and its two glycoside derivatives quercitrin and rutin against methylmercury (MeHg)-induced ROS production in rat brain slices.	Archives of Toxicology	WAGNER, C ; VARGAS AP ; ROOS,D.H. ; MOREL, A F ; FARINA, M ; , NOGUEIRA, C. W. ; ASCHNER, M ; , Rocha JBT	A1	
artigoEmPeriodico	2010	http://dx.doi.org/10.1007/s10534-010-9367-4	In vivo and in vitro inhibition of mice thioredoxin reductase by methylmercury	BioMetals (Oxford)	Wagner, Caroline ; Sudati, Jéssie H. ; Nogueira, Cristina Wayne ; Rocha, João B.T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1080/02772240802553366	Toxicological effects of N,N,N',N'-tetramethylethylenediamine on electric eel (Electrophorus electricus) acetylcholinesterase and human serum butyrylcholinesterase	Toxicological and Environmental Chemistry (Print)	AHMED, Mushtaq ; Schetinger, Maria ; , Rocha JBT ; MORSCH, Vera Maria ; Khan, Gul Majid	Qualis nao identificado	Toxicological and Environmental Chemistry (Print)
artigoEmPeriodico	2009		Antioxidant Properties of Water Extracts for the Iraqi Plants Phoenix Dactylifera, Loranthus Europeas, Zingiber	Modern Applied Science	Ahmed, S.H. ; Rocha, Joao Batista Teixeira	Qualis nao identificado	Modern Applied Science
artigoEmPeriodico	2009	http://dx.doi.org/10.1002/ejoc.200900485	Efficient Synthesis of Modular Amino Acid Derivatives Containing Selenium with Pronounced GPx-Like Activity	European Journal of Organic Chemistry	Alberto, Eduardo E. ; Soares, Letiére C. ; Sudati, Jéssie H. ; Borges, Antonio C. A. ; Rocha, João B. T. ; BRAGA, ANTONIO L. ; ROCHA, J. B. T.	A2	European Journal of Organic Chemistry (Print)
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.biortech.2009.03.091	Antioxidant activities of flavonol derivatives from the leaves and stem bark of Scutia buxifolia Reiss	Bioresource Technology	Boligon, Aline Augusti ; Pereira, Romaiana Picada ; Feltrin, Andriéli Cassel ; Machado, Michel Mansur ; Janovik, Vanessa ; ROCHA, João Batista Teixeira ; Athayde, Margareth Linde ; ROCHA, J. B. T.	A1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1039/b814990a	Synthesis of telluroamino acid derivatives with remarkable GPx like activity	Organic and Biomolecular Chemistry	BRAGA, A. L. ; ALBERTO, E. E. ; SOARES, L. C. ; ROCHA, J. B. T. ; SUDATI, J. H. ; ROOS,D.H.	A2	Organic & Biomolecular Chemistry
artigoEmPeriodico	2009		Diphenyl diselenide and diphenyl ditelluride increase the latency for 4-aminopyridine-induced chemical seizure and prevent death in mice	Acta Biochimica Polonica	BRITO, V. B. ; Rocha, J.B.T. ; FOLMER, V. ; ERTHAL, F	Qualis nao identificado	Acta Biochimica Polonica
artigoEmPeriodico	2009	http://dx.doi.org/10.1111/j.1742-7843.2009.00417.x	Chronic Treatment with Fluphenazine Alters Parameters of Oxidative Stress in Liver and Kidney of Rats	Basic Clinical Pharmacology Toxicology (Print)	Corte, Cristiane L. Dalla ; Fachinetto, Roselei ; Puntel, Robson ; Wagner, Caroline ; NOGUEIRA, Cristina W. ; Soares, Félix A. Antunes ; Rocha, João B. T. ; ROCHA, J. B. T.	B1	Basic & Clinical Pharmacology & Toxicology (Print)
artigoEmPeriodico	2009		Radiomodifying effect of organic grape juice supplementation on hematological parameters and organ weight in whole-body X-irradiation in rats	Nutrición Hospitalaria	de Andrade ER ( de Andrade, E. Ramos) ; piccoli JDE ; IBM, C. ; , Rocha JBT ; Garzo E. ; R., M. ; JL, M. ; GONZALES P (Gonzales P) ; JP, B.	B3	
artigoEmPeriodico	2009	http://dx.doi.org/10.1111/j.1742-7843.2009.00414.x	Diphenyl Diselenide Decreases Serum Levels of Total Cholesterol and Tissue Oxidative Stress in Cholesterol-fed Rabbits	Basic Clinical Pharmacology Toxicology (Print)	de Bem, Andreza Fabro ; de Lima Portella, Rafael ; Colpo, Elisângela ; Duarte, Marta Maria Medeiros Frescura ; Frediane, Andressa ; Taube, Paulo Sergio ; Nogueira, Cristina Wayne ; FARINA, Marcelo ; da Silva, Edson Luiz ; Teixeira Rocha, João Batista ; ROCHA, J. B. T.	B1	Basic & Clinical Pharmacology & Toxicology (Print)
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.brainresbull.2008.11.001	Diphenyl diselenide, a simple organoselenium compound, decreases methylmercury-induced cerebral, hepatic and renal oxidative stress and mercury deposition in adult mice	Brain Research Bulletin	de Freitas, Andressa Sausen ; Funck, Vinícius Rafael ; Rotta, Mariana dos Santos ; Bohrer, Denise ; Mörschbächer, Vanessa ; Puntel, Robson Luís ; Nogueira, Cristina Wayne ; FARINA, Marcelo ; ASCHNER, Michael ; ROCHA, João Batista Teixeira ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.clinbiochem.2009.01.010	Association between ischemia-modified albumin, lipids and inflammation biomarkers in patients with hypercholesterolemia.	Clinical Biochemistry	DUARTE, MMF ; ROCHA, J. B. T. ; MORESCO, R. ; DUARTE, T. ; CRUZ, I. ; LORO, V. L. ; SCHETINGER, M. R. C.	B1	
artigoEmPeriodico	2009		(Plano de aula) IDENTIFICANDO PROTEÍNAS COM O REATIVO BIURETO	Revista Brasileira de Ensino de Bioquímica e Biologia Molecular	FIGUEIRA, A. C. M. ; ROCHA, J. B. T.	Qualis nao identificado	Revista Brasileira de Ensino de Bioquímica e Biologia Molecular
artigoEmPeriodico	2009		Experimental activities based on ill-structured problems improve Brazilian school students understanding of the nature of scientific knowledge	REEC. Revista Electrónica de Enseñanza de las Ciencias	FOLMER, V. ; BARBOSA, N.B.V. ; SOARES, F. A. ; ROCHA, J. B. T.	B5	
artigoEmPeriodico	2009	http://dx.doi.org/10.2478/s11756-009-0034-6	Photosynthetic pigments content, ?-aminolevulinic acid dehydratase and acid phosphatase activities and mineral nutrients concentration in cadmium-exposed Cucumis sativus L.	Biologia (Bratislava)	Gonçalves, Jamile F. ; Nicoloso, Fernando T. ; Becker, Alexssandro G. ; Pereira, Luciane B. ; Tabaldi, Luciane A. ; Cargnelutti, Denise ; Pelegrin, Carla M. G. ; Dressler, Valderi L. ; ROCHA, J. B. T. ; Schetinger, Maria Rosa C.	B4	
artigoEmPeriodico	2009	http://dx.doi.org/10.1186/1471-2407-9-138	Delta-ALA-D activity is a reliable marker for oxidative stress in bone marrow transplant patients.	BMC Cancer (Online)	GONÇALVES, T. L. ; BENVEGNÚ, D. M. ; BONFANTI, G. ; FREDIANI, A.V. ; , Rocha JBT	Qualis nao identificado	BMC Cancer (Online)
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.clinbiochem.2008.12.001	Oxidative stress and δ-ALA-D activity in different conditioning regimens in allogeneic bone marrow transplantation patients	Clinical Biochemistry	GONÇALVES, T. L. ; BENVEGNÚ, D. M. ; BONFANTI, G. ; FREDIANI, A.V. ; PEREIRA, D.V ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.phrs.2008.12.005	?-Aminolevulinate dehydratase activity and oxidative stress during melphalan and cyclophosphamide BCNU etoposide (CBV) conditioning regimens in autologous bone marrow transplantation patients	Pharmacological Research	Gonçalves, Thissiane L. ; Benvegnú, Dalila M. ; Bonfanti, Gabriela ; Frediani, Andressa V. ; Rocha, João B.T.	A1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1590/S0100-40422009000100032	IMPORTANCE OF THE LIPID PEROXIDATION BIOMARKERS AND METHODOLOGICAL ASPECTS FOR MALONDIALDEHYDE QUANTIFICATION	Química Nova	Grotto D ; MARIA, L. S. ; VALENTINI, J. ; PANIZ, C. ; SCHMITT, G. ; Garcia SC ; POMBLUM, V. J. ; ROCHA, J. B. T. ; M, Farina ; FARINA, Marcelo	Qualis nao identificado	Química Nova
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.cbi.2008.12.013	Influence of pH on the reactivity of diphenyl ditelluride with thiols and anti-oxidant potential in rat brain	Chemico-Biological Interactions	HASSAN, Waseem ; IBRAHIM, M. ; NOGUEIRA, C. W ; BRAGA, A. L. ; DEOBALD, A.M ; MOHAMMADZAI, I.U ; ROCHA, J. B. T.	Qualis nao identificado	Chemico-Biological Interactions
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.febslet.2009.02.020	pH-Dependent Fe (II) pathophysiology and protective effect of an organoselenium compound	FEBS Letters (Print)	HASSAN, Waseem ; Ibrahim, Mohammad ; Deobald, Anna Maria ; Braga, Antonio Luiz ; Nogueira, Cristina Wayne ; Rocha, Joao B.T. ; ROCHA, J. B. T.	A2	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.etap.2009.02.004	Effects of acidosis and Fe (II) on lipid peroxidation in phospholipid extract: Comparative effect of diphenyl diselenide and ebselen	Environmental Toxicology and Pharmacology	HASSAN, Waseem ; Ibrahim, Mohammad ; NOGUEIRA, Cristina W. ; AHMED, Mushtaq ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.brainres.2008.12.046	Enhancement of iron-catalyzed lipid peroxidation by acidosis in brain homogenate: Comparative effect of diphenyl diselenide and ebselen	Brain Research	HASSAN, Waseem ; Ibrahim, Mohammad ; NOGUEIRA, Cristina W. ; Braga, Antonio Luis ; Mohammadzai, Imdad Ullah ; Taube, Paulo Sergio ; Rocha, Joao Batista Teixeira	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1080/01480540903127332	Low pH does not modulate antioxidant status of diphenyl ditelluride but exacerbates Fe (II)-induced lipid peroxidation in liver preparation	Drug and Chemical Toxicology (New York, N.Y. 1978)	HASSAN, Waseem ; Ibrahim, Mohammad ; Rocha, Joao B.T. ; ROCHA, J. B. T.	Qualis nao identificado	Drug and Chemical Toxicology (New York, N.Y. 1978)
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.cbi.2009.06.023	Towards the mechanism and comparative effect of diphenyl diselenide, diphenyl ditelluride and ebselen under various pathophysiological conditions in rat's kidney preparation	Chemico-Biological Interactions (Print)	HASSAN, Waseem ; Ibrahim, Mohammad ; Rocha, Joao Batista Teixeira	B1	Chemico Biological Interactions (Print)
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.pbb.2008.09.012	Further analysis of the antinociceptive action caused by p-methoxyl-diphenyl diselenide in mice.	Pharmacology, Biochemistry and Behavior	Jesse, C. R. ; ROCHA, J. B. T. ; NOGUEIRA, C. W. ; SAVEGNAGO, L	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.tiv.2008.08.008	Studies on the antioxidant effect and interaction of diphenyl diselenide and dicholesteroyl diselenide with hepatic ?-aminolevulinic acid dehydratase and isoforms of lactate dehydrogenase	Toxicology in Vitro	KADE, I ; PAIXAO, M ; RODRIGUES, O ; IBUKUN, E ; BRAGA, A ; ZENI, G ; NOGUEIRA, C ; ROCHA, J ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s10565-008-9095-5	Effect of oral administration of diphenyl diselenide on antioxidant status, and activity of delta aminolevulinic acid dehydratase and isoforms of lactate dehydrogenase, in streptozotocin-induced diabetic rats	Cell Biology and Toxicology	KADE, I. J. ; BORGES, V. C. ; Savegnago, L. ; IBUKUN, E. O. ; ZENI, G. ; NOGUEIRA, C. W. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.brainres.2009.04.003	Diphenyl diselenide and streptozotocin did not alter cerebral glutamatergic and cholinergic systems but modulate antioxidant status and sodium pump in diabetic rats	Brain Research	Kade, I.J. ; Nogueira, C.W. ; Rocha, J.B.T. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1111/j.1440-1681.2008.05056.x	REDOX MODULATION AT THE PERIPHERAL SITE ALTERS NOCICEPTIVE TRANSMISSION IN VIVO	Clinical and Experimental Pharmacology Physiology	MEOTTI, F. C. ; COELHO, I. dos S. ; FRANCO, J. L. ; DAFRE, A. L. ; ROCHA, J. B. T. ; SANTOS, A.R.S.	B2	Clinical and Experimental Pharmacology & Physiology
artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s12031-008-9154-7	Importance of Schedule of Administration in the Therapeutic Efficacy of Guanosine: Early Intervention After Injury Enhances Glutamate Uptake in Model of Hypoxia-ischemia	Journal of Molecular Neuroscience	MORETTO, M. B. ; BOFF, B. ; LAVINSKY, D. ; Netto, C. A. ; ROCHA, J. B. T. ; SOUZA, D. O. ; Wofchuk, S. T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.cbi.2009.08.018	Altered pH homeostasis modulates the glutathione peroxidase mimics and other antioxidant properties of diphenyl diselenide	Chemico-Biological Interactions (Print)	Ogunmoyole, t. ; ROCHA, J. B. T. ; Okoronkwo, A.E. ; Kade, I.J.	B1	Chemico Biological Interactions (Print)
artigoEmPeriodico	2009	http://dx.doi.org/10.1007/s11064-008-9861-z	Antioxidant Effects of Different Extracts from Melissa officinalis, Matricaria recutita and Cymbopogon citratus	Neurochemical Research	PEREIRA, R. P. ; FACHINETTO, R. ; DE SOUZA PRESTES, A. ; PUNTEL, R. L. ; SANTOS DA SILVA, G. N. ; Heinzmann, B.M. ; ATHAYDE, M. L. ; BURGER, M. E. ; MOREL, A F ; MORSCH, V. M. ; ROCHA, J. B. T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1080/15555270903143440	Mercury and Selenium - A Review on Aspects Related to the Health of Human Populations in the Amazon	Environmental bioindicators	Pinheiro, Maria da Conceicao Na ; Luiz Martins do Nascimento, Jose ; Carlos de Lima Silveira, Luiz ; Batista Teixeira da Rocha, Joao ; Aschner, Michael ; ROCHA, J. B. T.	Qualis nao identificado	Environmental bioindicators
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.ejphar.2008.10.055	Antidepressant-like effect of the organoselenium compound ebselen in mice: Evidence for the involvement of the monoaminergic system	European Journal of Pharmacology	POSSER, T ; KASTER, M ; BARAUNA, S ; ROCHA, J. B. T. ; RODRIGUES, A ; LEAL, R	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.cbi.2008.09.028	Butane-2,3-dionethiosemicarbazone: An oxime with antioxidant properties	Chemico-Biological Interactions	PUNTEL, GO ; DE CARVALHO, N.R. ; GUBERT, P. ; PALMA, A. ; CORTE, C L D ; AVILA, D. S. ; PEREIRA, M. E ; CARRATU, V. S. ; BRESOLIN, L. ; ROCHA, J. B. T. ; SOARES, F. A. A.	Qualis nao identificado	Chemico-Biological Interactions
artigoEmPeriodico	2009	http://dx.doi.org/10.1002/cbf.1599	High-fat diet and hydrochlorothiazide increase oxidative stress in brain of rats	Cell Biochemistry and Function	Ribeiro, Marinei Cristina Pereira ; Barbosa, Nilda Berenice de Vargas ; de Almeida, Tielle Moraes ; Parcianello, Lutiane Mozzaquatro ; Perottoni, Juliano ; de Ávila, Daiana Silva ; ROCHA, J. B. T.	B2	
artigoEmPeriodico	2009		PERCEPÇÕES SOBRE FUMO PASSIVO: UM OLHAR SOBRE O ENSINO DE CIÊNCIAS E SEU COMPROMETIMENTO NA CONSTRUÇÃO DA CIDADANIA PARA A SAÚDE E QUALIDADE DE VIDA	Educação (UFSM)	ROCHA, J. B. T. ; SALLA, L. F.S ; FIGUEIRA, A.C.M. ; MACHADO, L.M.F. ; KNOLL, L.R.P. ; SASSI, N.S. ; SALLA, R.F. ; PRÁ, S.M.	Qualis nao identificado	Educação (UFSM)
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.tiv.2008.12.020	Guanosine and synthetic organoselenium compounds modulate methylmercury-induced oxidative stress in rat brain cortical slices: Involvement of oxidative stress and glutamatergic system	Toxicology in Vitro	Roos, Daniel H. ; Puntel, Robson L. ; Santos, Matheus M. ; Souza, Diogo O.G. ; FARINA, Marcelo ; NOGUEIRA, Cristina W. ; ASCHNER, Michael ; Burger, Marilise Escobar ; Barbosa, Nilda B.V. ; Rocha, João B.T.	B1	
artigoEmPeriodico	2009	http://dx.doi.org/10.1016/j.mrgentox.2009.03.006	Genotoxicity of organoselenium compounds in human leukocytes in vitro	Mutation Research (Print)	SANTOS, D. B. ; SCHIAR, V. P. P. ; RIBEIRO, M. C. P. ; SCHAWAB, RS ; Meinerz DF ; ALLEBRANDT, J. ; , Rocha JBT ; , NOGUEIRA, C. W. ; ASCHNER, Michael ; BARBOSA, N B.	B1	
